base_rent,qm,plz,street,rent_per_qm,data_set
1068,89,12555,Henriette-Lustig-Stra&szlig;e,12.00,immoscout
960,46,10969,no_information,20.87,immoscout
2140,130.55,12524,Brigittenweg,16.39,immoscout
790,33,14199,Breite Stra&szlig;e,23.94,immoscout
2354,204,10711,Kurf&uuml;rstendamm,11.54,immoscout
1590,52.25,10789,N&uuml;rberger Str.,30.43,immoscout
1270,95.57,13158,Nesselweg,13.29,immoscout
655.97,96,13405,Scharnweberstr.,6.83,immoscout
830,65.3,13158,Nesselweg,12.71,immoscout
276.91,37,12057,Aronsstr.,7.48,immoscout
700,46,14059,Danckelmannstr.,15.22,immoscout
880,44,14199,no_information,20.00,immoscout
523.23,54.61,12349,Parksiedlung Spruch,9.58,immoscout
414.86,51,10585,Kaiser-Friedrich-Str.,8.13,immoscout
974.3,101.57,13507,Veitstra&szlig;e,9.59,immoscout
4200,116,10623,no_information,36.21,immoscout
770,56.57,13158,Nesselweg,13.61,immoscout
1130,76.46,13158,Nesselweg,14.78,immoscout
1130,85.32,13158,Nesselweg,13.24,immoscout
990,55,10245,Corinthstra&szlig;e,18.00,immoscout
1640,122.91,13158,Nesselweg,13.34,immoscout
1670,122.92,13158,Nesselweg,13.59,immoscout
540,36.68,10318,Trautenauer Stra&szlig;e,14.72,immoscout
